	Unnamed: 0	haul	net	category	depth	o2	salinity	temp	volume	depth_layer	D_N	on_off	abundance	biomass	latitude	longitude	integrated_abundance	integrated_biomass	station	binned_o2
2	2	mn01	n1	Euphausiacea	130.85205047879998	10.4264694458	35.0882803738	14.7056635514	14.2710280374	26.3328733589	D	offshore	0.1401440733	1.5697720534000001	-10.888	-78.5685	3.6903961354000003	41.3366086848	station 1	(10, 20]
7	7	mn01	n2	Euphausiacea	101.48451751639999	11.133231136700001	35.1049	15.076260000000001	23.32	38.760237959	D	offshore	4.9313893654	8.6245638213	-10.888	-78.5685	191.1418252695	334.2901460058	station 1	(10, 20]
12	12	mn01	n3	Euphausiacea	63.960425997	20.0589397988	35.1263058824	15.7221058824	14.364705882400001	28.7271359427	D	offshore	14.201474201500002	8.9886885899	-10.888	-78.5685	407.9676799721	258.2192790676	station 1	(20, 50]
17	17	mn01	n4	Euphausiacea	42.5974489467	32.365275661	35.1512873563	16.6645977011	11.9885057471	17.4966551258	D	offshore	10.426653883	8.0662215547	-10.888	-78.5685	182.4315671072	141.1318967102	station 1	(20, 50]
22	22	mn01	n5	Euphausiacea	14.418842233800001	180.3066494482	35.3554513274	20.0139557522	21.6814159292	32.014790997199995	D	offshore	4.9812244898	1.2767978308	-10.888	-78.5685	159.4728609508	40.8764156982	station 1	(150, 250]
27	27	mn02	n1	Euphausiacea	131.9385968901	8.5023407233	35.0675147059	14.699191176500001	10.3970588235	25.5379976571	N	offshore	2.8854314003	15.5612147119	-10.950999999999999	-78.564	73.68814034	397.40226485330004	station 1	(0, 10]
32	32	mn02	n2	Euphausiacea	97.89823301879998	9.8473484649	35.0844545455	15.044810606099999	25.75	38.8596964645	N	offshore	9.8640776699	49.389289932	-10.950999999999999	-78.564	383.31506415449996	1919.2528153553	station 1	(0, 10]
37	37	mn02	n3	Euphausiacea	65.0346851569	15.2877598738	35.0997011494	15.514183908	16.6091954023	27.8324908998	N	offshore	13.96816609	65.32524281020001	-10.950999999999999	-78.564	388.768855586	1818.1642260418	station 1	(10, 20]
42	42	mn02	n4	Euphausiacea	40.8677559358	21.6157993138	35.1244158416	16.1043465347	16.5544554455	16.9995819881	N	offshore	45.848684210500004	221.7673245372	-10.950999999999999	-78.564	779.4084662854	3769.9518157618	station 1	(20, 50]
47	47	mn02	n5	Euphausiacea	18.409718931300002	145.47364874870001	35.2596947368	19.1879473684	15.778947368399999	32.114167543200004	N	offshore	53.5523682455	341.1791492429	-10.950999999999999	-78.564	1719.7897261726	10956.684361043399	station 1	(50, 150]
52	52	mn03	n1	Euphausiacea	40.4711362419	29.2772866198	35.161884058000005	16.271115942	11.753623188399999	9.2454528993	D	onshore	3.3181257707	3.4974644322	-10.761	-78.271	30.6775755264	32.335642675100004	station 2	(20, 50]
57	57	mn03	n2	Euphausiacea	36.119247010500004	33.5046358602	35.1781212121	16.500999999999998	17.9494949495	4.1754599434	D	onshore	3.3984243106	5.090709475	-10.761	-78.271	14.1899845797	21.256053496	station 2	(20, 50]
62	62	mn03	n3	Euphausiacea	30.9395026568	47.84781034109999	35.1757272727	17.1004363636	7.472727272699999	8.6493913726	D	onshore	11.3746958637	2.2987842768999998	-10.761	-78.271	98.38419626940001	19.8830848917	station 2	(20, 50]
67	67	mn03	n4	Euphausiacea	24.1630376536	103.7105011632	35.158326087	17.812782608699997	8.1195652174	7.2578238674	D	onshore	65.5207496653	3.9680391782999997	-10.761	-78.271	475.5380607339	28.799329455	station 2	(50, 150]
72	72	mn03	n5	Euphausiacea	11.4060245006	156.4339929161	35.2784081633	18.9298163265	4.9795918367	17.698262618399998	D	onshore	13.6557377049	2.6414602096	-10.761	-78.271	241.68283214919998	46.749256485299995	station 2	(150, 250]
77	77	mn04	n1	Euphausiacea	41.579402326	28.4519584383	35.1533968254	16.160253968299997	9.5238095238	11.730714387999999	N	onshore	26.46	271.9796232701	-10.777999999999999	-78.27	310.3947027057	3190.5152799294	station 2	(20, 50]
82	82	mn04	n2	Euphausiacea	34.648608046	31.5404599299	35.1654509804	16.300372549000002	8.6862745098	4.1754989203	N	onshore	44.0925507901	621.7932348089	-10.777999999999999	-78.27	184.10839821529999	2596.2969805675	station 2	(20, 50]
87	87	mn04	n3	Euphausiacea	31.02582069	63.3316869332	35.17645	17.39465	6.525	1.690109527	N	onshore	40.9195402299	826.6814454539	-10.777999999999999	-78.27	69.1585047845	1397.1821867859	station 2	(50, 150]
92	92	mn04	n4	Euphausiacea	26.749864661500002	109.1551395845	35.1643061224	17.9041836735	8.4285714286	7.8542059575	N	onshore	93.72881355930001	1457.5394479382999	-10.777999999999999	-78.27	736.1654058514	11447.815015356698	station 2	(50, 150]
97	97	mn04	n5	Euphausiacea	12.9462798821	151.2555683434	35.2975588235	19.0531323529	13.1911764706	21.3769361532	N	onshore	87.63433667780001	1190.8759138209	-10.777999999999999	-78.27	1873.3536199859	25457.2783760815	station 2	(150, 250]
102	102	mn05	n1	Euphausiacea	109.08761149840001	8.5668699766	35.052770642199995	14.677275229400001	15.7981651376	41.8366855664	N	offshore	13.5458768873	186.4220015374	-12.412	-77.813	566.7145920564	7799.278660973	station 3	(0, 10]
107	107	mn05	n2	Euphausiacea	77.7596909951	14.4641113421	35.161010309299996	15.7011030928	12.6082474227	16.8961147699	N	offshore	13.007358953399999	154.7054883822	-12.412	-77.813	219.7738297302	2613.9216872438	station 3	(10, 20]
112	112	mn05	n3	Euphausiacea	60.6835787387	50.6847317282	35.252744	16.621592	14.767999999999999	20.1777813715	N	offshore	19.7724810401	171.5483688999	-12.412	-77.813	398.9647995981	3461.4654822925	station 3	(50, 150]
117	117	mn05	n4	Euphausiacea	42.7383733641	133.4943304752	35.3602432432	18.0581081081	8.0810810811	14.3145134698	N	offshore	20.2943143813	122.23397203	-12.412	-77.813	290.503236572	1749.7198390953	station 3	(50, 150]
122	122	mn05	n5	Euphausiacea	17.9624029505	210.3879645948	35.512623853200004	20.251954128399998	13.623853210999998	34.1004679313	N	offshore	14.2397306397	69.98978772390001	-12.412	-77.813	485.5814780301	2386.6845117947	station 3	(150, 250]
127	127	mn06	n1	Euphausiacea	108.9537315426	3.5884421127999997	35.0387777778	14.416269841300002	12.2063492063	40.842682636	D	offshore	2.0481144343	9.3604749267	-12.414000000000001	-77.812	83.65048784359999	382.3069067554	station 3	(0, 10]
132	132	mn06	n2	Euphausiacea	79.4652560801	9.8924068829	35.1353953488	15.601519379800001	14.6356589147	18.9832035375	D	offshore	0.2733050847	0.8377302513	-12.414000000000001	-77.812	5.1882060516	15.902803869400001	station 3	(0, 10]
137	137	mn06	n3	Euphausiacea	60.303843312299996	97.2656148664	35.2775855856	17.1612792793	12.3423423423	19.1837924745	D	offshore	1.4583941606	1.5302328186	-12.414000000000001	-77.812	27.9775309227	29.3556688306	station 3	(50, 150]
142	142	mn06	n4	Euphausiacea	42.9600535998	187.14331311549998	35.4623536585	19.5097195122	9.8536585366	14.6127217093	D	offshore	0.1014851485	0.41249655820000003	-12.414000000000001	-77.812	1.4829742329	6.027697411	station 3	(150, 250]
147	147	mn06	n5	Euphausiacea	19.3034410961	213.8435448822	35.5282926829	20.284402439	10.8780487805	33.8021225504	D	offshore	0.9192825112	0.35804425	-12.414000000000001	-77.812	31.073700102399997	12.1026556157	station 3	(150, 250]
152	152	mn07	n1	Euphausiacea	45.537365915900004	12.397393362	35.176046875	15.8666875	10.296875	9.1453103264	N	onshore	20.880121396099998	400.7971952271	-12.212	-77.439	190.9551898202	3665.41472831	station 4	(10, 20]
157	157	mn07	n2	Euphausiacea	38.4363422265	28.602090296700002	35.2325322581	16.5865	10.0	3.1810731014	N	onshore	28.4	417.0551609375	-12.212	-77.439	90.3424760785	1326.6829542393	station 4	(20, 50]
162	162	mn07	n3	Euphausiacea	33.768424539099996	60.508159892200005	35.283761194	17.0734029851	11.388059701500001	6.0640602372000005	N	onshore	16.0694626474	320.60732268	-12.212	-77.439	97.44618947389999	1944.1821172253	station 4	(50, 150]
167	167	mn07	n4	Euphausiacea	29.0134088978	104.1081501968	35.3334285714	17.5365396825	10.3333333333	5.1695094482	N	onshore	24.0967741935	421.00164034970004	-12.212	-77.439	124.5685018645	2176.3719574931	station 4	(50, 150]
172	172	mn07	n5	Euphausiacea	13.8387712176	163.82675161059998	35.3338253968	18.2710793651	12.746031746	24.2587289779	N	onshore	84.496886675	1300.3139902233	-12.212	-77.439	2049.7870733283	31543.9646750576	station 4	(150, 250]
177	177	mn08	n1	Euphausiacea	48.01184261	115.71068130889999	35.325156626500004	17.661843373499998	14.5662650602	9.9404535285	D	onshore	3.2266335815	3.3893060285	-12.212333000000001	-77.439	32.0742011702	33.6912390701	station 4	(50, 150]
182	182	mn08	n2	Euphausiacea	39.838796701999996	144.1269368819	35.3824883721	18.0801860465	8.0697674419	4.970407446	D	onshore	0.7435158501000001	2.6940682762	-12.212333000000001	-77.439	3.6955767178	13.3906170199	station 4	(50, 150]
187	187	mn08	n3	Euphausiacea	34.814098429299996	148.9143324112	35.3809298246	18.203947368399998	9.8596491228	5.7658235734000005	D	onshore	0.8113879004000001	4.0995862914	-12.212333000000001	-77.439	4.6783194831	23.6374912804	station 4	(50, 150]
192	192	mn08	n4	Euphausiacea	28.8477514842	180.348161919	35.312681818200005	18.608204545499998	7.1363636364	5.5671586225	D	onshore	5.0445859873000005	4.4125805707	-12.212333000000001	-77.439	28.0840103758	24.5655359713	station 4	(150, 250]
197	197	mn08	n5	Euphausiacea	14.1026206469	191.0295083191	35.283577777800005	18.6625944444	27.15	24.7558280795	D	onshore	12.0073664825	0.6168708168	-12.212333000000001	-77.439	297.2523003285	15.2711478886	station 4	(150, 250]
202	202	mn09	n1	Euphausiacea	32.3547625831	1.9996961674	35.1395384615	15.7944903846	17.0192307692	15.010031332899999	N	onshore	33.197740113	853.7092067861	-14.001	-76.66	498.2991192792	12814.201943086899	station 6	(0, 10]
207	207	mn09	n2	Euphausiacea	21.9824529557	2.8553826313	35.1433095238	15.9863809524	6.9761904762	5.765737439	N	onshore	42.8600682594	877.8426475727999	-14.001	-76.66	247.1199002033	5061.4102187034005	station 6	(0, 10]
212	212	mn09	n3	Euphausiacea	16.4036285999	30.585145525799998	35.1683108108	16.516148648599998	12.054054054100002	4.5729460056999995	N	onshore	29.865470851999998	478.0212253579	-14.001	-76.66	136.573185642	2185.9652531547	station 6	(20, 50]
217	217	mn09	n4	Euphausiacea	11.144665186700001	79.72016106609999	35.16065	16.8034625	10.7875	6.7601973235	N	onshore	31.7033603708	401.0347156786	-14.001	-76.66	214.32097192560002	2711.0738115738	station 6	(50, 150]
222	222	mn09	n5	Euphausiacea	4.6053282799	117.1789383901	35.1569032258	16.9247096774	4.0322580645	5.8656573999	N	onshore	24.055999999999997	248.9606878594	-14.001	-76.66	141.1042544116	1460.3181010224	station 6	(50, 150]
227	227	mn10	n1	Euphausiacea	34.1928022208	1.9991071884	35.1235238095	15.796714285699998	6.619047619	16.7992421657	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(0, 10]
232	232	mn10	n2	Euphausiacea	21.2312576149	4.0782762605	35.1328125	15.9669375	2.4375	6.6604485789	D	onshore	1.641025641	9.0640069029	-14.0015	-76.66	10.929966898699998	60.3703518953	station 6	(0, 10]
237	237	mn10	n3	Euphausiacea	14.6390545776	25.3483629983	35.1483333333	16.3343333333	1.75	5.1694625799	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(20, 50]
242	242	mn10	n4	Euphausiacea	8.932294328200001	97.2364302487	35.162846153800004	16.692461538499998	1.9230769231	5.766104052899999	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(50, 150]
247	247	mn10	n5	Euphausiacea	3.7282079319999997	146.2830688205	35.1487	16.8539	1.2	4.4738197081	D	onshore	0.0	0.0	-14.0015	-76.66	0.0	0.0	station 6	(50, 150]
252	252	mn11	n1	Euphausiacea	52.893428300299995	2.9288010291	35.142921875	15.58203125	10.09375	15.604815804000001	D	offshore	38.439628483	736.0388762480001	-14.297	-77.169	599.8433220498999	11485.7510884118	station 5	(0, 10]
257	257	mn11	n2	Euphausiacea	39.428902249000004	17.95664722	35.1686309524	15.9999761905	15.4761904762	10.4370044163	D	offshore	1.4861538462000001	5.6257844474	-14.297	-77.169	15.5109942557	58.7163371224	station 5	(10, 20]
262	262	mn11	n3	Euphausiacea	31.2831152646	24.6353639164	35.1745365854	16.1487073171	6.8780487804999995	6.7594863123	D	offshore	0.4361702128	2.9714039082999997	-14.297	-77.169	2.9482865830000002	20.0851640465	station 5	(20, 50]
267	267	mn11	n4	Euphausiacea	23.9625041026	62.012897063000004	35.175960784299996	16.630745098	7.2156862745	7.3561648253	D	offshore	0.277173913	1.7136858780000002	-14.297	-77.169	2.0389369896000002	12.6061557772	station 5	(50, 150]
272	272	mn11	n5	Euphausiacea	12.0253780376	121.9856942191	35.169607843099996	16.9221960784	4.7058823529	18.2921755233	D	offshore	0.2125	2.6590484605	-14.297	-77.169	3.8870872987	48.6397811636	station 5	(50, 150]
277	277	mn12	n1	Euphausiacea	52.83216627149999	0.0	35.1230733945	15.653954128399999	21.339449541300002	16.0023603584	N	offshore	1.2652622528	16.929616795799998	-14.277000000000001	-77.17699999999999	20.2471825171	270.913828696	station 5	
282	282	mn12	n2	Euphausiacea	40.2431040202	2.222521155	35.1692054795	16.276164383599998	14.9452054795	9.7411974302	N	offshore	0.4014665445	1.1847566503	-14.277000000000001	-77.17699999999999	3.9107648712	11.5409484377	station 5	(0, 10]
287	287	mn12	n3	Euphausiacea	31.4464660256	104.5909378917	35.1839130435	17.1107391304	9.8043478261	7.1570930315	N	offshore	8.159645232799999	25.0435073687	-14.277000000000001	-77.17699999999999	58.3993400354	179.2387120731	station 5	(50, 150]
292	292	mn12	n4	Euphausiacea	24.4618712808	137.5971752691	35.1787083333	17.2597916667	11.166666666700001	6.660297128300001	N	offshore	1.7910447761000001	24.741503877800003	-14.277000000000001	-77.17699999999999	11.928890379	164.785767227	station 5	(50, 150]
297	297	mn12	n5	Euphausiacea	12.395769319500001	145.6316653042	34.6554328358	17.270970149300002	15.417910447799999	19.6839436335	N	offshore	19.1984511133	349.49487427300005	-14.277000000000001	-77.17699999999999	377.90122956449994	6879.4374053973	station 5	(50, 150]
302	302	mn13	n1	Euphausiacea	95.10802177040001	9.072076726	35.0709622642	14.877471698099999	8.377358490599999	12.7191192829	D	onshore	1.4324324324000002	4.0245150942	-15.424000000000001	-75.444	18.219278972799998	51.1882875396	station 8	(0, 10]
307	307	mn13	n2	Euphausiacea	77.58317876939999	25.692530435300004	35.088417322800005	15.2201653543	20.5905511811	22.5585018157	D	onshore	8.0133843212	56.6162400267	-15.424000000000001	-75.444	180.76994476029998	1277.1775534416001	station 8	(20, 50]
312	312	mn13	n3	Euphausiacea	57.9536341316	19.728510333800003	35.144218487399996	15.8370756303	20.7142857143	16.7962420028	D	onshore	4.8275862069	20.9104398584	-15.424000000000001	-75.444	81.0853062204	351.2168082467	station 8	(10, 20]
317	317	mn13	n4	Euphausiacea	43.032209301	98.8555745	35.1911370968	16.8416854839	21.9193548387	15.406069192999999	D	onshore	9.3068432671	22.3774343094	-15.424000000000001	-75.444	143.3818713418	344.7483013333	station 8	(50, 150]
322	322	mn13	n5	Euphausiacea	19.241161734400002	202.2729116	35.196329896900004	17.7450824742	19.865979381400003	33.2015302121	D	onshore	10.1177996886	1.940308629	-15.424000000000001	-75.444	335.9264320419	64.4212155668	station 8	(150, 250]
327	327	mn14	n1	Euphausiacea	94.5288196802	4.4566292126	35.0536410256	14.6338717949	5.4358974359	10.4337137162	N	onshore	1.1037735848999999	9.5613957974	-15.43	-75.44	11.5164575924	99.7608664765	station 8	(0, 10]
332	332	mn14	n2	Euphausiacea	75.4159653508	42.4696247469	35.0807102804	15.1992476636	35.060747663600004	21.5646894001	N	onshore	11.979208316700001	41.1107158131	-15.43	-75.44	258.3279066077	886.5398175232001	station 8	(20, 50]
337	337	mn14	n3	Euphausiacea	58.5747321267	59.2557218682	35.1785486726	16.2630442478	15.8318584071	18.187608018	N	onshore	10.801006148699999	67.5695684767	-15.43	-75.44	196.4444660328	1228.9288254034	station 8	(50, 150]
342	342	mn14	n4	Euphausiacea	45.0096245358	135.95468029129998	35.1960707071	17.2723232323	13.7575757576	11.032565576300001	N	onshore	4.5792951542	172.08362836900002	-15.43	-75.44	50.52137408189999	1898.5239145916	station 8	(50, 150]
347	347	mn14	n5	Euphausiacea	21.6790578319	203.84302421669997	35.212742268	17.879721649500002	14.8762886598	37.674244273	N	onshore	29.9805959806	325.64142998290004	-15.43	-75.44	1129.4962964239999	12268.2947785948	station 8	(150, 250]
352	352	mn15	n1	Euphausiacea	73.1787478563	2.9184802425	35.1151428571	15.246053571400001	45.3892857143	46.90564757479999	D	offshore	1.5422141789	6.4666948684	-15.860999999999999	-76.105	72.3385547617	303.3245104729	station 7	(0, 10]
357	357	mn15	n2	Euphausiacea	48.211836911300004	27.5475566796	35.153417582399996	16.3942857143	13.7252747253	10.6347786459	D	offshore	11.803042433900002	14.305050335799999	-15.860999999999999	-76.105	125.5227436336	152.1310438398	station 7	(20, 50]
362	362	mn15	n3	Euphausiacea	39.0407691034	78.2009837418	35.172625	16.929535714300002	9.642857142899999	3.3793925708	D	offshore	27.0666666667	12.1127092164	-15.860999999999999	-76.105	91.4688922495	40.9335995382	station 7	(50, 150]
367	367	mn15	n4	Euphausiacea	36.999412233899996	138.9523004418	35.2082424242	17.5038484848	5.696969697	3.8764156218	D	offshore	0.0	0.0	-15.860999999999999	-76.105	0.0	0.0	station 7	(50, 150]
372	372	mn15	n5	Euphausiacea	19.8718366815	206.3534010914	35.2495	18.020346153800002	21.2692307692	33.6980856594	D	offshore	7.6636528029	0.6410051284	-15.860999999999999	-76.105	258.2504286161	21.6006457263	station 7	(150, 250]
377	377	mn16	n1	Euphausiacea	73.7747484381	1.0165243342	35.1196847458	15.270999999999999	54.5593220339	45.613677386899994	N	offshore	0.3849021435	0.6053239308	-15.86	-76.10600000000001	17.5568022002	27.611050491900002	station 7	(0, 10]
382	382	mn16	n2	Euphausiacea	51.8279551481	29.6434406861	35.1561621622	16.4133513514	10.4594594595	7.3547671025	N	offshore	40.2506459948	243.4008421764	-15.86	-76.10600000000001	296.0341270174	1790.1565067609	station 7	(20, 50]
387	387	mn16	n3	Euphausiacea	44.6608427436	87.8085921047	35.1831911765	17.0115441176	9.9264705882	5.0689819743	N	offshore	85.5288888889	319.1261845511	-15.86	-76.10600000000001	433.54439606150004	1617.6448770235002	station 7	(50, 150]
392	392	mn16	n4	Euphausiacea	39.0656176546	179.1232991623	35.2369661017	17.8835084746	9.2881355932	4.0751587543	N	offshore	43.065693430699994	333.41247610610003	-15.86	-76.10600000000001	175.499537595	1358.7087708047	station 7	(150, 250]
397	397	mn16	n5	Euphausiacea	20.0887456351	207.59735490970002	35.2523333333	18.0555591398	16.8817204301	35.6860002616	N	offshore	15.223566879000002	250.6838179953	-15.86	-76.10600000000001	543.2682116261	8945.9027945647	station 7	(150, 250]
